date,country,newcases
2021-06-05,azerbaijan,108
2021-06-06,azerbaijan,68
2021-06-07,azerbaijan,32
2021-06-08,azerbaijan,102
2021-06-09,azerbaijan,68
2021-06-10,azerbaijan,75
2021-06-11,azerbaijan,73
2021-06-12,azerbaijan,61
2021-06-13,azerbaijan,45
2021-06-14,azerbaijan,25
2021-06-15,azerbaijan,68
2021-06-16,azerbaijan,27
2021-06-17,azerbaijan,48
2021-06-18,azerbaijan,60
2021-06-19,azerbaijan,38
2021-06-20,azerbaijan,56
2021-06-21,azerbaijan,28
2021-06-22,azerbaijan,47
2021-06-23,azerbaijan,57
2021-06-24,azerbaijan,51
2021-06-25,azerbaijan,65
2021-06-26,azerbaijan,55
2021-06-27,azerbaijan,40
2021-06-28,azerbaijan,38
2021-06-29,azerbaijan,87
2021-06-30,azerbaijan,86
2021-07-01,azerbaijan,75
2021-07-02,azerbaijan,101
2021-07-03,azerbaijan,95
2021-07-04,azerbaijan,99
2021-07-05,azerbaijan,62
2021-07-06,azerbaijan,78
2021-07-07,azerbaijan,127
2021-07-08,azerbaijan,104
2021-07-09,azerbaijan,174
2021-07-10,azerbaijan,136
2021-07-11,azerbaijan,156
2021-07-12,azerbaijan,69
2021-07-13,azerbaijan,133
2021-07-14,azerbaijan,146
2021-07-15,azerbaijan,199
2021-07-16,azerbaijan,169
2021-07-17,azerbaijan,213
2021-07-18,azerbaijan,255
2021-07-19,azerbaijan,148
2021-07-20,azerbaijan,251
2021-07-21,azerbaijan,225
2021-07-22,azerbaijan,212
2021-07-23,azerbaijan,371
2021-07-24,azerbaijan,412
2021-07-25,azerbaijan,386
2021-07-26,azerbaijan,272
2021-07-27,azerbaijan,468
2021-07-28,azerbaijan,750
2021-07-29,azerbaijan,615
2021-07-30,azerbaijan,668
2021-07-31,azerbaijan,633
2021-08-01,azerbaijan,671
2021-08-02,azerbaijan,431
2021-08-03,azerbaijan,931
2021-08-04,azerbaijan,996
2021-08-05,azerbaijan,1196
2021-08-06,azerbaijan,1242
2021-08-07,azerbaijan,1289
2021-08-08,azerbaijan,1220
2021-08-09,azerbaijan,1101
2021-08-10,azerbaijan,1736
2021-08-11,azerbaijan,2396
2021-05-11,belarus,742
2021-05-12,belarus,896
2021-05-13,belarus,837
2021-05-14,belarus,1109
2021-05-15,belarus,1363
2021-05-16,belarus,1627
2021-05-17,belarus,1191
2021-05-18,belarus,1179
2021-05-19,belarus,1378
2021-05-20,belarus,1457
2021-05-21,belarus,1756
2021-05-22,belarus,1471
2021-05-23,belarus,1252
2021-05-24,belarus,953
2021-05-25,belarus,840
2021-05-26,belarus,1169
2021-05-27,belarus,1216
2021-05-28,belarus,1434
2021-05-29,belarus,992
2021-05-30,belarus,1178
2021-05-31,belarus,632
2021-06-01,belarus,636
2021-06-02,belarus,915
2021-06-03,belarus,879
2021-06-04,belarus,1183
2021-06-05,belarus,857
2021-06-06,belarus,943
2021-06-07,belarus,570
2021-06-08,belarus,597
2021-06-09,belarus,834
2021-06-10,belarus,966
2021-06-11,belarus,1026
2021-06-12,belarus,895
2021-06-13,belarus,923
2021-06-14,belarus,697
2021-06-15,belarus,501
2021-06-16,belarus,887
